Issue,Subject,Company,Response,Product Area,Status,Request Type,Justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,Escalate to a human,account_management,Escalated,product_issue,Stage 3a: account-access request without verified ownership; requires human review.
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,Escalate to a human,screen,Escalated,product_issue,Stage 3a: assessment-score / hiring-decision dispute; requires human review.
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,Escalate to a human,,Escalated,product_issue,"The ticket involves a dispute with a merchant and a request for a refund, which requires escalation to a human for further assistance and potential fraud investigation."
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,Escalate to a human,,Escalated,bug,The provided documents do not contain a clear answer to the user's question about why their mock interviews stopped and how to get a refund.
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,Escalate to a human,,Escalated,product_issue,The provided documents do not contain a clear answer to the user's question about their payment issue with order ID cs_live_abcdefgh.
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,Escalate to a human,,Escalated,product_issue,The provided documents do not contain a clear answer to the user's question about the infosec process for their company.
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,"To try a question or a test, click on 'Tests' on the home page, select a test, and then click 'Try question' or 'Try Test' on the Questions page. You can validate each test question during the trial by submitting the answer and viewing the results.",screen,Replied,bug,"The user's issue is addressed in the 'How can I Try a Question or a Test?' document, which provides steps to try a question or a test."
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"If your challenges do not load or show an infinite Processing message, try closing the challenge window and reopening it using the same challenge link. Also, ensure your internet connection is stable and try opening the challenge in another supported browser. If you do not see your challenge results, wait for the challenge results to process, check the leaderboard, and confirm you are using the correct account. If the issue persists, contact HackerRank support at help@hackerrank.com.",screen,Replied,bug,"The provided documents, specifically 'Coding Challenges FAQs', contain steps to troubleshoot the issue with challenges not loading or showing results."
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"To resolve the compatibility issue, please open the HackerRank Compatibility link and review the results to confirm that all parameters are configured correctly. If you encounter issues, contact support@hackerrank.com and include a screenshot of the error message.",screen,Replied,product_issue,"The user's issue is related to compatibility, and Doc 4 provides steps to verify system compatibility, which can help resolve the issue."
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,Escalate to a human,,Escalated,product_issue,The provided documents do not contain a clear answer to the user's question about rescheduling a HackerRank assessment.
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? 
Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.

The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? 
If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together 
without being kicked out of the room?
",Candidate inactivity help,HackerRank,"According to the 'Using Virtual Lobby in HackerRank Interviews' document, candidates are automatically pushed back to the lobby when all the interviewers leave the interview. However, the document does not provide information on inactivity times or how to extend them. You may want to check the interview settings to see if there are any options to adjust the inactivity times.",interviews,Replied,product_issue,"The provided documents do not contain a clear answer to the user's question about inactivity times, but the 'Using Virtual Lobby in HackerRank Interviews' document provides some relevant information about the interview process."
"it’s not working, help",Help needed,None,Escalate to a human,,Escalated,bug,Stage 3b: vague-but-real bug report with insufficient detail.
"Hello! I am trying to remove an interviewer from the platform. I am not seeing this as an option when I select the three dots next to their name. 
Can you let me know how to do this?",How to Remove a User,HackerRank,"To remove an interviewer, you can modify their user role by clicking the three dots next to their name and selecting 'Modify User Role' in the User Management section.",interviews,Replied,product_issue,The 'Accessing SkillUp Employer Platform' document provides steps to access the User Management section where you can modify user roles.
"Hi, please pause our subscription. We have stopped all hiring efforts for now.
",Subscription pause,HackerRank,"To pause your subscription, follow these steps: Access Subscription Settings by clicking on the profile icon in the top-right corner of the page and selecting Settings from the dropdown menu. Navigate to the Billing section under Subscription. However, please note that the Pause Subscription feature is only available for monthly subscription plans, and your subscription must be at least 30 days old. For more information, see the Pause Subscription article.",billing,Replied,product_issue,"The user's question is answered in the 'Pause Subscription' document, which provides step-by-step instructions on how to pause a subscription."
"Claude has stopped working completely, all requests are failing",Claude not responding,Claude,Escalate to a human,,Escalated,bug,The provided documents do not contain a clear answer to the user's question about Claude not responding.
"My identity has been stolen, wat should I do",Identity Theft,Visa,Escalate to a human,fraud,Escalated,product_issue,Stage 3a: fraud / identity / lost-or-stolen pattern; requires human review.
